Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  M Alonso,HIS,1:43.088,314.43,2,26
2,  K Perrot,FER,1:44.506,314.38,2,18
3,  C Barbieri,FER,1:43.894,322.00,2,15
4,  P Menarguez,WAT,1:44.468,306.28,2,12
5,  L Mansell,CRB,1:44.948,328.26,2,10
6,  R Brundle,CRB,1:44.454,314.23,2,8
7,  S Belmonte,AZM,1:44.987,370.00,2,6
8,  B Rios,HIS,1:46.496,305.73,1,4
9,  M Walker,AZM,1:45.233,370.00,2,2
10,  A Garcia,DAD,1:47.728,302.90,2,1
11,  B Menarguez,DAD,1:47.698,308.11,2,0
12,  N Taylor,SAR,1:44.297,314.01,2,0
13,  N Turan,SAR,1:44.993,307.64,2,0
14,  H Alonso,WAT,1:45.655,315.96,1,0
