Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  L Mansell,CRB,1:34.542,370.00,2,25
2,  G da Silva,CRB,1:34.768,370.00,2,18
3,  K Perrot,FER,1:35.367,370.00,2,15
4,  P Menarguez,WAT,1:34.920,354.38,2,12
5,  H Alonso,WAT,1:35.128,370.00,2,10
6,  C Barbieri,FER,1:36.443,370.00,2,8
7,  I Ruiz,HIS,1:33.451,370.00,2,7
8,  J Torres,HIS,1:33.942,370.00,2,4
9,  A Garcia,DAD,1:38.786,370.00,2,2
10,  G Nieto,SAR,1:39.007,356.26,2,1
11,  V Garcia,AZM,1:38.605,362.73,2,0
12,  B Menarguez,DAD,1:37.285,370.00,2,0
13,  O Martin,SAR,1:37.790,348.07,2,0
14,  P Pinto,AZM,1:38.716,360.83,2,0
