Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,G da Silva,CRB,1:13.040,293.23,2,25
2,L Mansell,CRB,1:12.738,295.86,2,18
3,P Menarguez,WAT,1:11.708,294.79,3,15
4,H Alonso,WAT,1:13.861,319.72,3,12
5,J Torres,HIS,1:12.222,295.38,3,10
6,K Perrot,FER,1:11.525,370.00,3,8
7,I Ruiz,HIS,1:13.512,290.73,3,6
8,C Barbieri,FER,1:11.446,370.00,3,5
9,G Nieto,SAR,1:14.150,301.37,2,2
10,O Martin,SAR,1:14.394,370.00,2,1
11,V Garcia,AZM,1:12.125,370.00,2,0
12,P Pinto,AZM,1:12.476,370.00,2,0
13,A Garcia,DAD,1:18.207,370.00,2,0
14,B Menarguez,DAD,1:18.128,370.00,2,0
