Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  A Çakıcı,FER,1:42.915,370.00,2,25
2,  M Alonso,HIS,1:42.281,370.00,2,18
3,  K Perrot,FER,1:43.248,370.00,2,15
4,  L Jones,SAR,1:42.980,370.00,2,12
5,  L Mansell,CRB,1:42.496,370.00,2,10
6,  N Turan,SAR,1:42.275,370.00,2,9
7,  R Brundle,CRB,1:43.494,370.00,2,6
8,  P Menarguez,WAT,1:43.205,370.00,2,4
9,  B Rios,HIS,1:42.804,370.00,2,2
10,  H Alonso,WAT,1:43.231,370.00,2,1
11,  S Belmonte,AZM,1:43.786,370.00,2,0
12,  M Walker,AZM,1:44.226,370.00,2,0
13,  A Garcia,DAD,1:46.874,370.00,2,0
14,  B Menarguez,DAD,1:47.154,370.00,2,0
