Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  C Barbieri,FER,1:41.732,341.08,3,25
2,  K Perrot,FER,1:40.577,341.91,3,19
3,  N Taylor,SAR,1:42.502,339.96,2,15
4,  B Rios,HIS,1:42.625,370.00,2,12
5,  J Torres,HIS,1:42.050,345.37,2,10
6,  N Turan,SAR,1:42.422,339.76,2,8
7,  L Mansell,CRB,1:43.616,341.71,2,6
8,  P Pinto,AZM,1:42.855,343.02,2,4
9,  G da Silva,CRB,1:42.904,345.55,2,2
10,  P Menarguez,WAT,1:42.614,332.99,2,1
11,  H Alonso,WAT,1:43.143,343.81,2,0
12,  B Menarguez,DAD,1:44.684,337.03,2,0
13,  V Garcia,AZM,1:43.435,344.60,2,0
14,  A Garcia,DAD,1:44.423,319.95,2,0
