Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  K Perrot,FER,1:19.136,365.94,2,25
2,  C Barbieri,FER,1:19.773,370.00,2,18
3,  P Menarguez,WAT,1:19.473,370.00,2,15
4,  H Alonso,WAT,1:19.897,365.40,2,12
5,  P Pinto,AZM,1:19.712,365.58,2,10
6,  G da Silva,CRB,1:20.095,362.58,2,8
7,  L Mansell,CRB,1:20.739,365.66,2,6
8,  V Garcia,AZM,1:20.255,366.75,2,4
9,  N Turan,SAR,1:20.001,365.86,2,2
10,  N Taylor,SAR,1:20.082,364.23,2,1
11,  B Rios,HIS,1:19.918,368.55,2,0
12,  B Menarguez,DAD,1:19.991,364.26,2,0
13,  J Torres,HIS,1:18.935,370.00,2,0
14,  A Garcia,DAD,1:19.341,370.00,3,0
