Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  M Alonso,HIS,1:22.803,370.00,2,26
2,  P Menarguez,WAT,1:24.047,370.00,2,18
3,  K Perrot,FER,1:23.687,370.00,2,15
4,  C Barbieri,FER,1:23.957,370.00,2,12
5,  H Alonso,WAT,1:23.395,370.00,2,10
6,  B Rios,HIS,1:22.926,370.00,2,8
7,  N Turan,SAR,1:24.265,370.00,2,6
8,  N Taylor,SAR,1:24.207,370.00,2,4
9,  L Mansell,CRB,1:25.495,366.70,1,2
10,  G da Silva,CRB,1:25.615,367.73,1,1
11,  A Garcia,DAD,1:24.929,367.98,2,0
12,  P Pinto,AZM,1:25.307,370.00,2,0
13,  B Menarguez,DAD,1:25.336,365.74,2,0
14,  V Garcia,AZM,1:25.590,351.63,2,0
