Pos,Piloto,Equipo,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  A Çakıcı,FER,1:25.965,312.75,2,25
2,  T Moss,FER,1:25.809,311.59,2,19
3,  P Perez,WAT,1:26.857,370.00,2,15
4,  N Turan,SAR,1:27.399,326.32,2,12
5,  P Menarguez,WAT,1:27.384,370.00,2,10
6,  L Jones,SAR,1:27.035,314.40,2,8
7,  M Alonso,HIS,1:29.029,311.27,1,6
8,  B Rios,HIS,1:29.172,370.00,1,4
9,  R Brundle,CRB,1:29.078,317.21,1,2
10,  L Mansell,CRB,1:28.790,320.00,1,1
11,  S Belmonte,AZM,1:34.230,297.09,2,0
12,  M Walker,AZM,1:34.473,298.25,2,0
13,  A Garcia,DAD,1:34.201,370.00,2,0
14,  B Menarguez,DAD,1:34.238,370.00,2,0
