Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  M Alonso,Hispalis F1 Team,1:6:00.216,1:43.088,314.43,2,26
2,  K Perrot,Frenando Afondo F1 Team,+ 0:22.795,1:44.506,314.38,2,18
3,  C Barbieri,Frenando Afondo F1 Team,+ 0:23.427,1:43.894,322.00,2,15
4,  P Menarguez,Watiki F1 Team,+ 0:38.402,1:44.468,306.28,2,12
5,  L Mansell,Calamardiño RB,+ 0:38.995,1:44.948,328.26,2,10
6,  R Brundle,Calamardiño RB,+ 1:01.231,1:44.454,314.23,2,8
7,  S Belmonte,Azuaga Martin,+ 1:03.338,1:44.987,370.00,2,6
8,  B Rios,Hispalis F1 Team,+ 1:10.883,1:46.496,305.73,1,4
9,  M Walker,Azuaga Martin,+ 1:15.635,1:45.233,370.00,2,2
10,  A Garcia,DaniDesokupa,+1 lap,1:47.728,302.90,2,1
11,  B Menarguez,DaniDesokupa,+1 lap,1:47.698,308.11,2,0
12,  N Taylor,Saca Racing,+2 laps,1:44.297,314.01,2,0
13,  N Turan,Saca Racing,+2 laps,1:44.993,307.64,2,0
14,  H Alonso,Watiki F1 Team,Combustible,1:45.655,315.96,1,0
