Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  L Mansell,Calamardiño RB,1:9:01.824,1:34.542,370.00,2,25
2,  G da Silva,Calamardiño RB,+ 0:10.375,1:34.768,370.00,2,18
3,  K Perrot,Frenando Afondo F1 Team,+ 0:33.605,1:35.367,370.00,2,15
4,  P Menarguez,Watiki F1 Team,+ 0:35.760,1:34.920,354.38,2,12
5,  H Alonso,Watiki F1 Team,+ 0:43.171,1:35.128,370.00,2,10
6,  C Barbieri,Frenando Afondo F1 Team,+ 0:43.203,1:36.443,370.00,2,8
7,  I Ruiz,Hispalis F1 Team,+ 1:30.901,1:33.451,370.00,2,7
8,  J Torres,Hispalis F1 Team,+1 lap,1:33.942,370.00,2,4
9,  A Garcia,DaniDesokupa,+1 lap,1:38.786,370.00,2,2
10,  G Nieto,Saca Racing,+1 lap,1:39.007,356.26,2,1
11,  V Garcia,Azuaga Martin,+1 lap,1:38.605,362.73,2,0
12,  B Menarguez,DaniDesokupa,+2 laps,1:37.285,370.00,2,0
13,  O Martin,Saca Racing,+2 laps,1:37.790,348.07,2,0
14,  P Pinto,Azuaga Martin,+2 laps,1:38.716,360.83,2,0
