Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  G da Silva,Calamardiño RB,1:5:23.474,1:13.040,293.23,2,25
2,  L Mansell,Calamardiño RB,+ 0:00.255,1:12.738,295.86,2,18
3,  P Menarguez,Watiki F1 Team,+ 0:56.706,1:11.708,294.79,3,15
4,  H Alonso,Watiki F1 Team,+ 1:09.224,1:13.861,319.72,3,12
5,  J Torres,Hispalis F1 Team,+1 lap,1:12.222,295.38,3,10
6,  K Perrot,Frenando Afondo F1 Team,+1 lap,1:11.525,370.00,3,8
7,  I Ruiz,Hispalis F1 Team,+1 lap,1:13.512,290.73,3,6
8,  C Barbieri,Frenando Afondo F1 Team,+1 lap,1:11.446,370.00,3,5
9,  G Nieto,Saca Racing,+1 lap,1:14.150,301.37,2,2
10,  O Martin,Saca Racing,+2 laps,1:14.394,370.00,2,1
11,  V Garcia,Azuaga Martin,+3 laps,1:12.125,370.00,2,0
12,  P Pinto,Azuaga Martin,+3 laps,1:12.476,370.00,2,0
13,  A Garcia,DaniDesokupa,+8 laps,1:18.207,370.00,2,0
14,  B Menarguez,DaniDesokupa,+8 laps,1:18.128,370.00,2,0
