Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  A Çakıcı,Frenando Afondo F1 Team,0:59:56.764,1:42.915,370.00,2,25
2,  M Alonso,Hispalis F1 Team,+ 0:13.948,1:42.281,370.00,2,18
3,  K Perrot,Frenando Afondo F1 Team,+ 0:20.733,1:43.248,370.00,2,15
4,  L Jones,Saca Racing,+ 0:20.964,1:42.980,370.00,2,12
5,  L Mansell,Calamardiño RB,+ 0:30.740,1:42.496,370.00,2,10
6,  N Turan,Saca Racing,+ 0:34.408,1:42.275,370.00,2,9
7,  R Brundle,Calamardiño RB,+ 0:35.973,1:43.494,370.00,2,6
8,  P Menarguez,Watiki F1 Team,+ 0:40.546,1:43.205,370.00,2,4
9,  B Rios,Hispalis F1 Team,+ 0:45.880,1:42.804,370.00,2,2
10,  H Alonso,Watiki F1 Team,+ 0:52.100,1:43.231,370.00,2,1
11,  S Belmonte,Azuaga Martin,+ 0:53.720,1:43.786,370.00,2,0
12,  M Walker,Azuaga Martin,+ 1:07.417,1:44.226,370.00,2,0
13,  A Garcia,DaniDesokupa,+1 lap,1:46.874,370.00,2,0
14,  B Menarguez,DaniDesokupa,+1 lap,1:47.154,370.00,2,0
