Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  C Barbieri,Frenando Afondo F1 Team,1:17:40.281,1:41.732,341.08,3,25
2,  K Perrot,Frenando Afondo F1 Team,+ 0:05.445,1:40.577,341.91,3,19
3,  N Taylor,Saca Racing,+ 0:13.060,1:42.502,339.96,2,15
4,  B Rios,Hispalis F1 Team,+ 0:16.066,1:42.625,370.00,2,12
5,  J Torres,Hispalis F1 Team,+ 0:17.261,1:42.050,345.37,2,10
6,  N Turan,Saca Racing,+ 0:25.604,1:42.422,339.76,2,8
7,  L Mansell,Calamardiño RB,+ 0:35.608,1:43.616,341.71,2,6
8,  P Pinto,Azuaga Martin,+ 0:40.127,1:42.855,343.02,2,4
9,  G da Silva,Calamardiño RB,+ 0:46.937,1:42.904,345.55,2,2
10,  P Menarguez,Watiki F1 Team,+ 0:51.646,1:42.614,332.99,2,1
11,  H Alonso,Watiki F1 Team,+ 1:01.806,1:43.143,343.81,2,0
12,  B Menarguez,DaniDesokupa,+ 1:21.212,1:44.684,337.03,2,0
13,  V Garcia,Azuaga Martin,+ 1:27.655,1:43.435,344.60,2,0
14,  A Garcia,DaniDesokupa,+ 1:30.091,1:44.423,319.95,2,0
