Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  K Perrot,Frenando Afondo F1 Team,1:4:19.688,1:19.136,365.94,2,25
2,  C Barbieri,Frenando Afondo F1 Team,+ 0:05.644,1:19.773,370.00,2,18
3,  P Menarguez,Watiki F1 Team,+ 0:12.735,1:19.473,370.00,2,15
4,  H Alonso,Watiki F1 Team,+ 0:21.065,1:19.897,365.40,2,12
5,  P Pinto,Azuaga Martin,+ 0:24.413,1:19.712,365.58,2,10
6,  G da Silva,Calamardiño RB,+ 0:36.465,1:20.095,362.58,2,8
7,  L Mansell,Calamardiño RB,+ 0:41.066,1:20.739,365.66,2,6
8,  V Garcia,Azuaga Martin,+ 0:42.418,1:20.255,366.75,2,4
9,  N Turan,Saca Racing,+ 0:46.677,1:20.001,365.86,2,2
10,  N Taylor,Saca Racing,+ 0:47.051,1:20.082,364.23,2,1
11,  B Rios,Hispalis F1 Team,+ 0:48.847,1:19.918,368.55,2,0
12,  B Menarguez,DaniDesokupa,+ 0:52.862,1:19.991,364.26,2,0
13,  J Torres,Hispalis F1 Team,+ 1:03.142,1:18.935,370.00,2,0
14,  A Garcia,DaniDesokupa,+ 1:17.058,1:19.341,370.00,3,0
