Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  M Alonso,Hispalis F1 Team,0:54:47.042,1:22.803,370.00,2,26
2,  P Menarguez,Watiki F1 Team,+ 0:12.673,1:24.047,370.00,2,18
3,  K Perrot,Frenando Afondo F1 Team,+ 0:16.268,1:23.687,370.00,2,15
4,  C Barbieri,Frenando Afondo F1 Team,+ 0:16.487,1:23.957,370.00,2,12
5,  H Alonso,Watiki F1 Team,+ 0:22.229,1:23.395,370.00,2,10
6,  B Rios,Hispalis F1 Team,+ 0:23.396,1:22.926,370.00,2,8
7,  N Turan,Saca Racing,+ 0:26.745,1:24.265,370.00,2,6
8,  N Taylor,Saca Racing,+ 0:37.559,1:24.207,370.00,2,4
9,  L Mansell,Calamardiño RB,+ 0:45.712,1:25.495,366.70,1,2
10,  G da Silva,Calamardiño RB,+ 1:00.073,1:25.615,367.73,1,1
11,  A Garcia,DaniDesokupa,+ 1:12.679,1:24.929,367.98,2,0
12,  P Pinto,Azuaga Martin,+ 1:15.343,1:25.307,370.00,2,0
13,  B Menarguez,DaniDesokupa,+ 1:17.463,1:25.336,365.74,2,0
14,  V Garcia,Azuaga Martin,+1 lap,1:25.590,351.63,2,0
