Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  A Çakıcı,Frenando Afondo F1 Team,1:5:40.174,1:25.965,312.75,2,25
2,  T Moss,Frenando Afondo F1 Team,+ 0:10.250,1:25.809,311.59,2,19
3,  P Perez,Watiki F1 Team,+ 0:17.932,1:26.857,370.00,2,15
4,  N Turan,Saca Racing,+ 0:37.231,1:27.399,326.32,2,12
5,  P Menarguez,Watiki F1 Team,+ 0:38.433,1:27.384,370.00,2,10
6,  L Jones,Saca Racing,+ 0:46.133,1:27.035,314.40,2,8
7,  M Alonso,Hispalis F1 Team,+ 0:53.740,1:29.029,311.27,1,6
8,  B Rios,Hispalis F1 Team,+ 1:04.123,1:29.172,370.00,1,4
9,  R Brundle,Calamardiño RB,+ 1:12.553,1:29.078,317.21,1,2
10,  L Mansell,Calamardiño RB,+1 lap,1:28.790,320.00,1,1
11,  S Belmonte,Azuaga Martin,+3 laps,1:34.230,297.09,2,0
12,  M Walker,Azuaga Martin,+3 laps,1:34.473,298.25,2,0
13,  A Garcia,DaniDesokupa,+3 laps,1:34.201,370.00,2,0
14,  B Menarguez,DaniDesokupa,+3 laps,1:34.238,370.00,2,0
