Pos,Piloto y Equipo,Team,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  M Alonso,Hispalis F1 Team,1:2:27.993,1:38.621,370.00,2,26
2,  P Perez,Watiki F1 Team,+ 0:12.570,1:39.526,370.00,3,18
3,  J Torres,Hispalis F1 Team,+ 0:16.188,1:40.385,370.00,2,15
4,  A Çakıcı,Frenando Afondo F1 Team,+ 0:17.656,1:41.395,370.00,2,12
5,  P Menarguez,Watiki F1 Team,+ 0:24.848,1:40.022,370.00,3,10
6,  T Moss,Frenando Afondo F1 Team,+ 0:29.293,1:41.520,370.00,2,8
7,  N Turan,Saca Racing,+ 0:35.644,1:42.255,370.00,2,6
8,  L Jones,Saca Racing,+ 0:52.430,1:42.041,370.00,2,4
9,  M Parker,Calamardiño RB,+ 0:58.155,1:42.678,370.00,2,2
10,  P Menarguez,Las Candelarias F1 Team,+ 1:05.339,1:42.200,370.00,2,1
11,  R Brundle,Calamardiño RB,+ 1:10.070,1:43.236,370.00,2,0
12,  L Santos,Las Candelarias F1 Team,+ 1:17.387,1:42.283,370.00,2,0
13,  N Ferrari,Chandra Team,+1 lap,1:43.154,370.00,2,0
14,  T Betz,Azuaga Martin,+1 lap,1:43.285,370.00,2,0
15,  J Hunt,DaniDesokupa,+1 lap,1:41.951,370.00,2,0
16,  J Brown,Chandra Team,+1 lap,1:42.646,370.00,2,0
17,  E White,Azuaga Martin,+1 lap,1:43.487,370.00,2,0
18,  B Menarguez,DaniDesokupa,+1 lap,1:41.772,370.00,2,0
