Pos,Piloto,Equipo,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  P Menarguez,Watiki F1 Team,1:25:08.159,1:48.714,315.31,3,26
2,  A Çakıcı,Frenando Afondo F1 Team,+ 0:20.651,1:50.146,304.87,2,18
3,  M Alonso,Hispalis F1 Team,+ 0:31.633,1:50.796,302.57,2,15
4,  L Jones,Saca Racing,+ 0:33.160,1:50.569,305.89,2,12
5,  N Turan,Saca Racing,+ 0:35.250,1:50.511,302.81,2,10
6,  M Parker,Calamardiño RB,+ 0:41.887,1:50.862,303.12,2,8
7,  P Perez,Watiki F1 Team,+ 0:42.912,1:50.799,311.79,2,6
8,  T Moss,Frenando Afondo F1 Team,+ 0:47.525,1:48.759,308.80,2,4
9,  B Rios,Hispalis F1 Team,+ 0:55.840,1:51.293,300.50,2,2
10,  T Betz,Azuaga Martin,+ 0:56.354,1:50.367,305.93,2,1
11,  E White,Azuaga Martin,+ 1:09.912,1:50.680,303.92,2,0
12,  R Brundle,Calamardiño RB,+ 1:45.662,1:51.657,321.53,3,0
13,  B Menarguez,DaniDesokupa,+2 laps,1:56.945,287.71,2,0
14,  A Garcia,DaniDesokupa,+2 laps,1:56.878,288.71,2,0
