Pos,Piloto y Equipo,Team,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,  M Alonso,Hispalis F1 Team,1:6:00.216,1:43.088,314.43,2,26
2,  K Perrot,Frenando Afondo F1 Team,+ 0:22.795,1:44.506,314.38,2,18
3,  C Barbieri,Frenando Afondo F1 Team,+ 0:23.427,1:43.894,322.00,2,15
4,  P Menarguez,Watiki F1 Team,+ 0:38.402,1:44.468,306.28,2,12
5,  L Mansell,Calamardiño RB,+ 0:38.995,1:44.948,328.26,2,10
6,  R Brundle,Calamardiño RB,+ 1:01.231,1:44.454,314.23,2,8
7,  S Belmonte,Azuaga Martin,+ 1:03.338,1:44.987,370.00,2,6
8,  B Rios,Hispalis F1 Team,+ 1:10.883,1:46.496,305.73,1,4
9,  M Walker,Azuaga Martin,+ 1:15.635,1:45.233,370.00,2,2
10,  A Garcia,DaniDesokupa,+1 lap,1:47.728,302.90,2,1
11,  B Menarguez,DaniDesokupa,+1 lap,1:47.698,308.11,2,0
12,  N Taylor,Saca Racing,+2 laps,1:44.297,314.01,2,0
13,  N Turan,Saca Racing,+2 laps,1:44.993,307.64,2,0
14,  H Alonso,Watiki F1 Team,Combustible,1:45.655,315.96,1,0
1,  L Mansell,Calamardiño RB,1:9:01.824,1:34.542,370.00,2,25
2,  G da Silva,Calamardiño RB,+ 0:10.375,1:34.768,370.00,2,18
3,  K Perrot,Frenando Afondo F1 Team,+ 0:33.605,1:35.367,370.00,2,15
4,  P Menarguez,Watiki F1 Team,+ 0:35.760,1:34.920,354.38,2,12
5,  H Alonso,Watiki F1 Team,+ 0:43.171,1:35.128,370.00,2,10
6,  C Barbieri,Frenando Afondo F1 Team,+ 0:43.203,1:36.443,370.00,2,8
7,  I Ruiz,Hispalis F1 Team,+ 1:30.901,1:33.451,370.00,2,7
8,  J Torres,Hispalis F1 Team,+1 lap,1:33.942,370.00,2,4
9,  A Garcia,DaniDesokupa,+1 lap,1:38.786,370.00,2,2
10,  G Nieto,Saca Racing,+1 lap,1:39.007,356.26,2,1
11,  V Garcia,Azuaga Martin,+1 lap,1:38.605,362.73,2,0
12,  B Menarguez,DaniDesokupa,+2 laps,1:37.285,370.00,2,0
13,  O Martin,Saca Racing,+2 laps,1:37.790,348.07,2,0
14,  P Pinto,Azuaga Martin,+2 laps,1:38.716,360.83,2,0
1,  G da Silva,Calamardiño RB,1:5:23.474,1:13.040,293.23,2,25
2,  L Mansell,Calamardiño RB,+ 0:00.255,1:12.738,295.86,2,18
3,  P Menarguez,Watiki F1 Team,+ 0:56.706,1:11.708,294.79,3,15
4,  H Alonso,Watiki F1 Team,+ 1:09.224,1:13.861,319.72,3,12
5,  J Torres,Hispalis F1 Team,+1 lap,1:12.222,295.38,3,10
6,  K Perrot,Frenando Afondo F1 Team,+1 lap,1:11.525,370.00,3,8
7,  I Ruiz,Hispalis F1 Team,+1 lap,1:13.512,290.73,3,6
8,  C Barbieri,Frenando Afondo F1 Team,+1 lap,1:11.446,370.00,3,5
9,  G Nieto,Saca Racing,+1 lap,1:14.150,301.37,2,2
10,  O Martin,Saca Racing,+2 laps,1:14.394,370.00,2,1
11,  V Garcia,Azuaga Martin,+3 laps,1:12.125,370.00,2,0
12,  P Pinto,Azuaga Martin,+3 laps,1:12.476,370.00,2,0
13,  A Garcia,DaniDesokupa,+8 laps,1:18.207,370.00,2,0
14,  B Menarguez,DaniDesokupa,+8 laps,1:18.128,370.00,2,0
1,  A Çakıcı,Frenando Afondo F1 Team,0:59:56.764,1:42.915,370.00,2,25
2,  M Alonso,Hispalis F1 Team,+ 0:13.948,1:42.281,370.00,2,18
3,  K Perrot,Frenando Afondo F1 Team,+ 0:20.733,1:43.248,370.00,2,15
4,  L Jones,Saca Racing,+ 0:20.964,1:42.980,370.00,2,12
5,  L Mansell,Calamardiño RB,+ 0:30.740,1:42.496,370.00,2,10
6,  N Turan,Saca Racing,+ 0:34.408,1:42.275,370.00,2,9
7,  R Brundle,Calamardiño RB,+ 0:35.973,1:43.494,370.00,2,6
8,  P Menarguez,Watiki F1 Team,+ 0:40.546,1:43.205,370.00,2,4
9,  B Rios,Hispalis F1 Team,+ 0:45.880,1:42.804,370.00,2,2
10,  H Alonso,Watiki F1 Team,+ 0:52.100,1:43.231,370.00,2,1
11,  S Belmonte,Azuaga Martin,+ 0:53.720,1:43.786,370.00,2,0
12,  M Walker,Azuaga Martin,+ 1:07.417,1:44.226,370.00,2,0
13,  A Garcia,DaniDesokupa,+1 lap,1:46.874,370.00,2,0
14,  B Menarguez,DaniDesokupa,+1 lap,1:47.154,370.00,2,0
1,  C Barbieri,Frenando Afondo F1 Team,1:17:40.281,1:41.732,341.08,3,25
2,  K Perrot,Frenando Afondo F1 Team,+ 0:05.445,1:40.577,341.91,3,19
3,  N Taylor,Saca Racing,+ 0:13.060,1:42.502,339.96,2,15
4,  B Rios,Hispalis F1 Team,+ 0:16.066,1:42.625,370.00,2,12
5,  J Torres,Hispalis F1 Team,+ 0:17.261,1:42.050,345.37,2,10
6,  N Turan,Saca Racing,+ 0:25.604,1:42.422,339.76,2,8
7,  L Mansell,Calamardiño RB,+ 0:35.608,1:43.616,341.71,2,6
8,  P Pinto,Azuaga Martin,+ 0:40.127,1:42.855,343.02,2,4
9,  G da Silva,Calamardiño RB,+ 0:46.937,1:42.904,345.55,2,2
10,  P Menarguez,Watiki F1 Team,+ 0:51.646,1:42.614,332.99,2,1
11,  H Alonso,Watiki F1 Team,+ 1:01.806,1:43.143,343.81,2,0
12,  B Menarguez,DaniDesokupa,+ 1:21.212,1:44.684,337.03,2,0
13,  V Garcia,Azuaga Martin,+ 1:27.655,1:43.435,344.60,2,0
14,  A Garcia,DaniDesokupa,+ 1:30.091,1:44.423,319.95,2,0
1,  K Perrot,Frenando Afondo F1 Team,1:4:19.688,1:19.136,365.94,2,25
2,  C Barbieri,Frenando Afondo F1 Team,+ 0:05.644,1:19.773,370.00,2,18
3,  P Menarguez,Watiki F1 Team,+ 0:12.735,1:19.473,370.00,2,15
4,  H Alonso,Watiki F1 Team,+ 0:21.065,1:19.897,365.40,2,12
5,  P Pinto,Azuaga Martin,+ 0:24.413,1:19.712,365.58,2,10
6,  G da Silva,Calamardiño RB,+ 0:36.465,1:20.095,362.58,2,8
7,  L Mansell,Calamardiño RB,+ 0:41.066,1:20.739,365.66,2,6
8,  V Garcia,Azuaga Martin,+ 0:42.418,1:20.255,366.75,2,4
9,  N Turan,Saca Racing,+ 0:46.677,1:20.001,365.86,2,2
10,  N Taylor,Saca Racing,+ 0:47.051,1:20.082,364.23,2,1
11,  B Rios,Hispalis F1 Team,+ 0:48.847,1:19.918,368.55,2,0
12,  B Menarguez,DaniDesokupa,+ 0:52.862,1:19.991,364.26,2,0
13,  J Torres,Hispalis F1 Team,+ 1:03.142,1:18.935,370.00,2,0
14,  A Garcia,DaniDesokupa,+ 1:17.058,1:19.341,370.00,3,0
1,  M Alonso,Hispalis F1 Team,0:54:47.042,1:22.803,370.00,2,26
2,  P Menarguez,Watiki F1 Team,+ 0:12.673,1:24.047,370.00,2,18
3,  K Perrot,Frenando Afondo F1 Team,+ 0:16.268,1:23.687,370.00,2,15
4,  C Barbieri,Frenando Afondo F1 Team,+ 0:16.487,1:23.957,370.00,2,12
5,  H Alonso,Watiki F1 Team,+ 0:22.229,1:23.395,370.00,2,10
6,  B Rios,Hispalis F1 Team,+ 0:23.396,1:22.926,370.00,2,8
7,  N Turan,Saca Racing,+ 0:26.745,1:24.265,370.00,2,6
8,  N Taylor,Saca Racing,+ 0:37.559,1:24.207,370.00,2,4
9,  L Mansell,Calamardiño RB,+ 0:45.712,1:25.495,366.70,1,2
10,  G da Silva,Calamardiño RB,+ 1:00.073,1:25.615,367.73,1,1
11,  A Garcia,DaniDesokupa,+ 1:12.679,1:24.929,367.98,2,0
12,  P Pinto,Azuaga Martin,+ 1:15.343,1:25.307,370.00,2,0
13,  B Menarguez,DaniDesokupa,+ 1:17.463,1:25.336,365.74,2,0
14,  V Garcia,Azuaga Martin,+1 lap,1:25.590,351.63,2,0
1,  A Çakıcı,Frenando Afondo F1 Team,1:5:40.174,1:25.965,312.75,2,25
2,  T Moss,Frenando Afondo F1 Team,+ 0:10.250,1:25.809,311.59,2,19
3,  P Perez,Watiki F1 Team,+ 0:17.932,1:26.857,370.00,2,15
4,  N Turan,Saca Racing,+ 0:37.231,1:27.399,326.32,2,12
5,  P Menarguez,Watiki F1 Team,+ 0:38.433,1:27.384,370.00,2,10
6,  L Jones,Saca Racing,+ 0:46.133,1:27.035,314.40,2,8
7,  M Alonso,Hispalis F1 Team,+ 0:53.740,1:29.029,311.27,1,6
8,  B Rios,Hispalis F1 Team,+ 1:04.123,1:29.172,370.00,1,4
9,  R Brundle,Calamardiño RB,+ 1:12.553,1:29.078,317.21,1,2
10,  L Mansell,Calamardiño RB,+1 lap,1:28.790,320.00,1,1
11,  S Belmonte,Azuaga Martin,+3 laps,1:34.230,297.09,2,0
12,  M Walker,Azuaga Martin,+3 laps,1:34.473,298.25,2,0
13,  A Garcia,DaniDesokupa,+3 laps,1:34.201,370.00,2,0
14,  B Menarguez,DaniDesokupa,+3 laps,1:34.238,370.00,2,0
1,  M Alonso,Hispalis F1 Team,1:2:27.993,1:38.621,370.00,2,26
2,  P Perez,Watiki F1 Team,+ 0:12.570,1:39.526,370.00,3,18
3,  J Torres,Hispalis F1 Team,+ 0:16.188,1:40.385,370.00,2,15
4,  A Çakıcı,Frenando Afondo F1 Team,+ 0:17.656,1:41.395,370.00,2,12
5,  P Menarguez,Watiki F1 Team,+ 0:24.848,1:40.022,370.00,3,10
6,  T Moss,Frenando Afondo F1 Team,+ 0:29.293,1:41.520,370.00,2,8
7,  N Turan,Saca Racing,+ 0:35.644,1:42.255,370.00,2,6
8,  L Jones,Saca Racing,+ 0:52.430,1:42.041,370.00,2,4
9,  M Parker,Calamardiño RB,+ 0:58.155,1:42.678,370.00,2,2
10,  P Menarguez,Las Candelarias F1 Team,+ 1:05.339,1:42.200,370.00,2,1
11,  R Brundle,Calamardiño RB,+ 1:10.070,1:43.236,370.00,2,0
12,  L Santos,Las Candelarias F1 Team,+ 1:17.387,1:42.283,370.00,2,0
13,  N Ferrari,Chandra Team,+1 lap,1:43.154,370.00,2,0
14,  T Betz,Azuaga Martin,+1 lap,1:43.285,370.00,2,0
15,  J Hunt,DaniDesokupa,+1 lap,1:41.951,370.00,2,0
16,  J Brown,Chandra Team,+1 lap,1:42.646,370.00,2,0
17,  E White,Azuaga Martin,+1 lap,1:43.487,370.00,2,0
18,  B Menarguez,DaniDesokupa,+1 lap,1:41.772,370.00,2,0
1,  P Menarguez,Watiki F1 Team,1:25:08.159,1:48.714,315.31,3,26
2,  A Çakıcı,Frenando Afondo F1 Team,+ 0:20.651,1:50.146,304.87,2,18
3,  M Alonso,Hispalis F1 Team,+ 0:31.633,1:50.796,302.57,2,15
4,  L Jones,Saca Racing,+ 0:33.160,1:50.569,305.89,2,12
5,  N Turan,Saca Racing,+ 0:35.250,1:50.511,302.81,2,10
6,  M Parker,Calamardiño RB,+ 0:41.887,1:50.862,303.12,2,8
7,  P Perez,Watiki F1 Team,+ 0:42.912,1:50.799,311.79,2,6
