Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  L Mansell,Calamardiño RB,1:43.260,-,SS
2,  R Brundle,Calamardiño RB,1:43.280,+ 0:00.020,SS
3,  B Rios,Hispalis F1 Team,1:43.462,+ 0:00.202,S
4,  M Alonso,Hispalis F1 Team,1:43.660,+ 0:00.400,S
5,  P Menarguez,Watiki F1 Team,1:43.906,+ 0:00.646,S
6,  H Alonso,Watiki F1 Team,1:43.908,+ 0:00.648,S
7,  C Barbieri,Frenando Afondo F1 Team,1:44.587,+ 0:01.327,M
8,  K Perrot,Frenando Afondo F1 Team,1:44.618,+ 0:01.358,M
9,  S Belmonte,Azuaga Martin,1:44.636,+ 0:01.376,M
10,  M Walker,Azuaga Martin,1:45.091,+ 0:01.831,M
11,  A Garcia,DaniDesokupa,1:46.723,+ 0:03.463,M
12,  B Menarguez,DaniDesokupa,1:47.292,+ 0:04.032,M
13,  N Taylor,Saca Racing,1:49.459,+ 0:06.199,W
14,  N Turan,Saca Racing,1:49.467,+ 0:06.207,W
