Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  I Ruiz,Hispalis F1 Team,1:33.736,-,SS
2,  G da Silva,Calamardiño RB,1:34.535,+ 0:00.799,S
3,  J Torres,Hispalis F1 Team,1:34.604,+ 0:00.868,S
4,  L Mansell,Calamardiño RB,1:34.697,+ 0:00.961,S
5,  P Menarguez,Watiki F1 Team,1:35.270,+ 0:01.534,M
6,  C Barbieri,Frenando Afondo F1 Team,1:35.467,+ 0:01.731,M
7,  H Alonso,Watiki F1 Team,1:35.633,+ 0:01.897,M
8,  K Perrot,Frenando Afondo F1 Team,1:36.152,+ 0:02.416,H
9,  A Garcia,DaniDesokupa,1:38.796,+ 0:05.060,M
10,  G Nieto,Saca Racing,1:39.093,+ 0:05.357,M
11,  B Menarguez,DaniDesokupa,1:39.096,+ 0:05.360,M
12,  O Martin,Saca Racing,1:39.097,+ 0:05.361,M
13,  V Garcia,Azuaga Martin,1:39.104,+ 0:05.368,M
14,  P Pinto,Azuaga Martin,1:39.111,+ 0:05.375,M
