Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  P Menarguez,Watiki F1 Team,1:15.002,-,I
2,  H Alonso,Watiki F1 Team,1:15.084,+ 0:00.082,I
3,  V Garcia,Azuaga Martin,1:15.091,+ 0:00.089,I
4,  K Perrot,Frenando Afondo F1 Team,1:15.102,+ 0:00.100,I
5,  P Pinto,Azuaga Martin,1:15.104,+ 0:00.102,I
6,  G da Silva,Calamardiño RB,1:15.108,+ 0:00.106,I
7,  C Barbieri,Frenando Afondo F1 Team,1:15.173,+ 0:00.171,I
8,  L Mansell,Calamardiño RB,1:15.182,+ 0:00.180,I
9,  G Nieto,Saca Racing,1:16.511,+ 0:01.509,I
10,  O Martin,Saca Racing,1:16.533,+ 0:01.531,I
11,  A Garcia,DaniDesokupa,1:28.204,+ 0:13.202,S
12,  B Menarguez,DaniDesokupa,1:28.393,+ 0:13.391,S
13,  J Torres,Hispalis F1 Team,1:28.800,+ 0:13.798,M
14,  I Ruiz,Hispalis F1 Team,1:29.991,+ 0:14.989,M
