Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  M Alonso,Hispalis F1 Team,1:42.637,-,S
2,  H Alonso,Watiki F1 Team,1:42.660,+ 0:00.023,S
3,  R Brundle,Calamardiño RB,1:42.662,+ 0:00.025,S
4,  L Mansell,Calamardiño RB,1:42.765,+ 0:00.128,S
5,  K Perrot,Frenando Afondo F1 Team,1:42.771,+ 0:00.134,S
6,  P Menarguez,Watiki F1 Team,1:43.067,+ 0:00.430,S
7,  B Rios,Hispalis F1 Team,1:43.145,+ 0:00.508,S
8,  S Belmonte,Azuaga Martin,1:43.395,+ 0:00.758,M
9,  L Jones,Saca Racing,1:43.415,+ 0:00.778,M
10,  M Walker,Azuaga Martin,1:43.422,+ 0:00.785,M
11,  A Çakıcı,Frenando Afondo F1 Team,1:43.474,+ 0:00.837,M
12,  N Turan,Saca Racing,1:43.660,+ 0:01.023,M
13,  A Garcia,DaniDesokupa,1:46.794,+ 0:04.157,M
14,  B Menarguez,DaniDesokupa,1:46.856,+ 0:04.219,M
