Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  P Menarguez,Watiki F1 Team,1:41.300,-,SS
2,  G da Silva,Calamardiño RB,1:41.325,+ 0:00.025,SS
3,  H Alonso,Watiki F1 Team,1:41.373,+ 0:00.073,SS
4,  J Torres,Hispalis F1 Team,1:41.389,+ 0:00.089,S
5,  L Mansell,Calamardiño RB,1:41.468,+ 0:00.168,SS
6,  B Rios,Hispalis F1 Team,1:41.470,+ 0:00.170,S
7,  P Pinto,Azuaga Martin,1:41.975,+ 0:00.675,M
8,  C Barbieri,Frenando Afondo F1 Team,1:42.187,+ 0:00.887,M
9,  V Garcia,Azuaga Martin,1:42.804,+ 0:01.504,M
10,  K Perrot,Frenando Afondo F1 Team,1:42.922,+ 0:01.622,H
11,  N Turan,Saca Racing,1:43.123,+ 0:01.823,H
12,  N Taylor,Saca Racing,1:43.271,+ 0:01.971,H
13,  A Garcia,DaniDesokupa,1:44.701,+ 0:03.401,M
14,  B Menarguez,DaniDesokupa,1:44.792,+ 0:03.492,M
