Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  J Torres,Hispalis F1 Team,1:18.511,-,SS
2,  G da Silva,Calamardiño RB,1:18.636,+ 0:00.125,SS
3,  B Rios,Hispalis F1 Team,1:18.734,+ 0:00.223,SS
4,  L Mansell,Calamardiño RB,1:18.835,+ 0:00.324,SS
5,  P Menarguez,Watiki F1 Team,1:19.234,+ 0:00.723,S
6,  B Menarguez,DaniDesokupa,1:19.251,+ 0:00.740,S
7,  H Alonso,Watiki F1 Team,1:19.357,+ 0:00.846,S
8,  A Garcia,DaniDesokupa,1:19.410,+ 0:00.899,S
9,  P Pinto,Azuaga Martin,1:19.417,+ 0:00.906,M
10,  V Garcia,Azuaga Martin,1:19.805,+ 0:01.294,M
11,  N Taylor,Saca Racing,1:19.820,+ 0:01.309,M
12,  K Perrot,Frenando Afondo F1 Team,1:19.872,+ 0:01.361,M
13,  C Barbieri,Frenando Afondo F1 Team,1:20.027,+ 0:01.516,M
14,  N Turan,Saca Racing,1:20.399,+ 0:01.888,M
