Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  P Menarguez,Watiki F1 Team,1:22.379,-,S
2,  H Alonso,Watiki F1 Team,1:22.387,+ 0:00.008,S
3,  M Alonso,Hispalis F1 Team,1:22.847,+ 0:00.468,S
4,  B Rios,Hispalis F1 Team,1:22.961,+ 0:00.582,S
5,  G da Silva,Calamardiño RB,1:23.002,+ 0:00.623,S
6,  L Mansell,Calamardiño RB,1:23.004,+ 0:00.625,S
7,  C Barbieri,Frenando Afondo F1 Team,1:23.338,+ 0:00.959,M
8,  K Perrot,Frenando Afondo F1 Team,1:23.342,+ 0:00.963,M
9,  N Turan,Saca Racing,1:24.004,+ 0:01.625,H
10,  N Taylor,Saca Racing,1:24.233,+ 0:01.854,H
11,  A Garcia,DaniDesokupa,1:24.555,+ 0:02.176,M
12,  B Menarguez,DaniDesokupa,1:24.610,+ 0:02.231,M
13,  P Pinto,Azuaga Martin,1:24.854,+ 0:02.475,M
14,  V Garcia,Azuaga Martin,1:25.090,+ 0:02.711,M
