Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  L Mansell,Calamardiño RB,1:27.269,-,SS
2,  P Perez,Watiki F1 Team,1:27.846,+ 0:00.577,S
3,  B Rios,Hispalis F1 Team,1:27.920,+ 0:00.651,S
4,  M Alonso,Hispalis F1 Team,1:27.983,+ 0:00.714,S
5,  P Menarguez,Watiki F1 Team,1:28.098,+ 0:00.829,S
6,  R Brundle,Calamardiño RB,1:28.117,+ 0:00.848,S
7,  T Moss,Frenando Afondo F1 Team,1:28.119,+ 0:00.850,M
8,  A Çakıcı,Frenando Afondo F1 Team,1:28.160,+ 0:00.891,M
9,  N Turan,Saca Racing,1:28.619,+ 0:01.350,M
10,  L Jones,Saca Racing,1:28.623,+ 0:01.354,M
11,  S Belmonte,Azuaga Martin,1:34.508,+ 0:07.239,M
12,  M Walker,Azuaga Martin,1:34.856,+ 0:07.587,M
13,  A Garcia,DaniDesokupa,1:35.249,+ 0:07.980,M
14,  B Menarguez,DaniDesokupa,1:35.611,+ 0:08.342,M
