Pos,Piloto y Equipo,Team,Mejor Tiempo,Diferencia,Neumáticos
1,  L Jones,Saca Racing,1:41.345,-,S
2,  N Turan,Saca Racing,1:41.346,+ 0:00.001,S
3,  J Torres,Hispalis F1 Team,1:41.388,+ 0:00.043,S
4,  M Alonso,Hispalis F1 Team,1:41.497,+ 0:00.152,M
5,  P Perez,Watiki F1 Team,1:41.508,+ 0:00.163,M
6,  A Çakıcı,Frenando Afondo F1 Team,1:41.569,+ 0:00.224,M
7,  T Moss,Frenando Afondo F1 Team,1:41.604,+ 0:00.259,M
8,  P Menarguez,Las Candelarias F1 Team,1:41.608,+ 0:00.263,M
9,  L Santos,Las Candelarias F1 Team,1:41.613,+ 0:00.268,M
10,  N Ferrari,Chandra Team,1:41.780,+ 0:00.435,M
11,  P Menarguez,Watiki F1 Team,1:41.781,+ 0:00.436,M
12,  M Parker,Calamardiño RB,1:41.784,+ 0:00.439,S
13,  R Brundle,Calamardiño RB,1:41.839,+ 0:00.494,S
14,  J Hunt,DaniDesokupa,1:41.876,+ 0:00.531,S
15,  B Menarguez,DaniDesokupa,1:41.903,+ 0:00.558,S
16,  J Brown,Chandra Team,1:41.906,+ 0:00.561,M
17,  T Betz,Azuaga Martin,1:43.797,+ 0:02.452,M
18,  E White,Azuaga Martin,1:43.804,+ 0:02.459,M
