Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
1,  L Mansell,Calamardiño RB,1:43.260,-,SS
2,  R Brundle,Calamardiño RB,1:43.280,+ 0:00.020,SS
3,  B Rios,Hispalis F1 Team,1:43.462,+ 0:00.202,S
4,  M Alonso,Hispalis F1 Team,1:43.660,+ 0:00.400,S
5,  P Menarguez,Watiki F1 Team,1:43.906,+ 0:00.646,S
6,  H Alonso,Watiki F1 Team,1:43.908,+ 0:00.648,S
7,  C Barbieri,Frenando Afondo F1 Team,1:44.587,+ 0:01.327,M
8,  K Perrot,Frenando Afondo F1 Team,1:44.618,+ 0:01.358,M
9,  S Belmonte,Azuaga Martin,1:44.636,+ 0:01.376,M
10,  M Walker,Azuaga Martin,1:45.091,+ 0:01.831,M
11,  A Garcia,DaniDesokupa,1:46.723,+ 0:03.463,M
12,  B Menarguez,DaniDesokupa,1:47.292,+ 0:04.032,M
13,  N Taylor,Saca Racing,1:49.459,+ 0:06.199,W
14,  N Turan,Saca Racing,1:49.467,+ 0:06.207,W
1,  I Ruiz,Hispalis F1 Team,1:33.736,-,SS
2,  G da Silva,Calamardiño RB,1:34.535,+ 0:00.799,S
3,  J Torres,Hispalis F1 Team,1:34.604,+ 0:00.868,S
4,  L Mansell,Calamardiño RB,1:34.697,+ 0:00.961,S
5,  P Menarguez,Watiki F1 Team,1:35.270,+ 0:01.534,M
6,  C Barbieri,Frenando Afondo F1 Team,1:35.467,+ 0:01.731,M
7,  H Alonso,Watiki F1 Team,1:35.633,+ 0:01.897,M
8,  K Perrot,Frenando Afondo F1 Team,1:36.152,+ 0:02.416,H
9,  A Garcia,DaniDesokupa,1:38.796,+ 0:05.060,M
10,  G Nieto,Saca Racing,1:39.093,+ 0:05.357,M
11,  B Menarguez,DaniDesokupa,1:39.096,+ 0:05.360,M
12,  O Martin,Saca Racing,1:39.097,+ 0:05.361,M
13,  V Garcia,Azuaga Martin,1:39.104,+ 0:05.368,M
14,  P Pinto,Azuaga Martin,1:39.111,+ 0:05.375,M
1,  P Menarguez,Watiki F1 Team,1:15.002,-,I
2,  H Alonso,Watiki F1 Team,1:15.084,+ 0:00.082,I
3,  V Garcia,Azuaga Martin,1:15.091,+ 0:00.089,I
4,  K Perrot,Frenando Afondo F1 Team,1:15.102,+ 0:00.100,I
5,  P Pinto,Azuaga Martin,1:15.104,+ 0:00.102,I
6,  G da Silva,Calamardiño RB,1:15.108,+ 0:00.106,I
7,  C Barbieri,Frenando Afondo F1 Team,1:15.173,+ 0:00.171,I
8,  L Mansell,Calamardiño RB,1:15.182,+ 0:00.180,I
9,  G Nieto,Saca Racing,1:16.511,+ 0:01.509,I
10,  O Martin,Saca Racing,1:16.533,+ 0:01.531,I
11,  A Garcia,DaniDesokupa,1:28.204,+ 0:13.202,S
12,  B Menarguez,DaniDesokupa,1:28.393,+ 0:13.391,S
13,  J Torres,Hispalis F1 Team,1:28.800,+ 0:13.798,M
14,  I Ruiz,Hispalis F1 Team,1:29.991,+ 0:14.989,M
1,  M Alonso,Hispalis F1 Team,1:42.637,-,S
2,  H Alonso,Watiki F1 Team,1:42.660,+ 0:00.023,S
3,  R Brundle,Calamardiño RB,1:42.662,+ 0:00.025,S
4,  L Mansell,Calamardiño RB,1:42.765,+ 0:00.128,S
5,  K Perrot,Frenando Afondo F1 Team,1:42.771,+ 0:00.134,S
6,  P Menarguez,Watiki F1 Team,1:43.067,+ 0:00.430,S
7,  B Rios,Hispalis F1 Team,1:43.145,+ 0:00.508,S
8,  S Belmonte,Azuaga Martin,1:43.395,+ 0:00.758,M
9,  L Jones,Saca Racing,1:43.415,+ 0:00.778,M
10,  M Walker,Azuaga Martin,1:43.422,+ 0:00.785,M
11,  A Çakıcı,Frenando Afondo F1 Team,1:43.474,+ 0:00.837,M
12,  N Turan,Saca Racing,1:43.660,+ 0:01.023,M
13,  A Garcia,DaniDesokupa,1:46.794,+ 0:04.157,M
14,  B Menarguez,DaniDesokupa,1:46.856,+ 0:04.219,M
1,  P Menarguez,Watiki F1 Team,1:41.300,-,SS
2,  G da Silva,Calamardiño RB,1:41.325,+ 0:00.025,SS
3,  H Alonso,Watiki F1 Team,1:41.373,+ 0:00.073,SS
4,  J Torres,Hispalis F1 Team,1:41.389,+ 0:00.089,S
5,  L Mansell,Calamardiño RB,1:41.468,+ 0:00.168,SS
6,  B Rios,Hispalis F1 Team,1:41.470,+ 0:00.170,S
7,  P Pinto,Azuaga Martin,1:41.975,+ 0:00.675,M
8,  C Barbieri,Frenando Afondo F1 Team,1:42.187,+ 0:00.887,M
9,  V Garcia,Azuaga Martin,1:42.804,+ 0:01.504,M
10,  K Perrot,Frenando Afondo F1 Team,1:42.922,+ 0:01.622,H
11,  N Turan,Saca Racing,1:43.123,+ 0:01.823,H
12,  N Taylor,Saca Racing,1:43.271,+ 0:01.971,H
13,  A Garcia,DaniDesokupa,1:44.701,+ 0:03.401,M
14,  B Menarguez,DaniDesokupa,1:44.792,+ 0:03.492,M
1,  J Torres,Hispalis F1 Team,1:18.511,-,SS
2,  G da Silva,Calamardiño RB,1:18.636,+ 0:00.125,SS
3,  B Rios,Hispalis F1 Team,1:18.734,+ 0:00.223,SS
4,  L Mansell,Calamardiño RB,1:18.835,+ 0:00.324,SS
5,  P Menarguez,Watiki F1 Team,1:19.234,+ 0:00.723,S
6,  B Menarguez,DaniDesokupa,1:19.251,+ 0:00.740,S
7,  H Alonso,Watiki F1 Team,1:19.357,+ 0:00.846,S
8,  A Garcia,DaniDesokupa,1:19.410,+ 0:00.899,S
9,  P Pinto,Azuaga Martin,1:19.417,+ 0:00.906,M
10,  V Garcia,Azuaga Martin,1:19.805,+ 0:01.294,M
11,  N Taylor,Saca Racing,1:19.820,+ 0:01.309,M
12,  K Perrot,Frenando Afondo F1 Team,1:19.872,+ 0:01.361,M
13,  C Barbieri,Frenando Afondo F1 Team,1:20.027,+ 0:01.516,M
14,  N Turan,Saca Racing,1:20.399,+ 0:01.888,M
1,  P Menarguez,Watiki F1 Team,1:22.379,-,S
2,  H Alonso,Watiki F1 Team,1:22.387,+ 0:00.008,S
3,  M Alonso,Hispalis F1 Team,1:22.847,+ 0:00.468,S
4,  B Rios,Hispalis F1 Team,1:22.961,+ 0:00.582,S
5,  G da Silva,Calamardiño RB,1:23.002,+ 0:00.623,S
6,  L Mansell,Calamardiño RB,1:23.004,+ 0:00.625,S
7,  C Barbieri,Frenando Afondo F1 Team,1:23.338,+ 0:00.959,M
8,  K Perrot,Frenando Afondo F1 Team,1:23.342,+ 0:00.963,M
9,  N Turan,Saca Racing,1:24.004,+ 0:01.625,H
10,  N Taylor,Saca Racing,1:24.233,+ 0:01.854,H
11,  A Garcia,DaniDesokupa,1:24.555,+ 0:02.176,M
12,  B Menarguez,DaniDesokupa,1:24.610,+ 0:02.231,M
13,  P Pinto,Azuaga Martin,1:24.854,+ 0:02.475,M
14,  V Garcia,Azuaga Martin,1:25.090,+ 0:02.711,M
1,  L Mansell,Calamardiño RB,1:27.269,-,SS
2,  P Perez,Watiki F1 Team,1:27.846,+ 0:00.577,S
3,  B Rios,Hispalis F1 Team,1:27.920,+ 0:00.651,S
